date,text
2021-04-17 14:53:34,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:52:36,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 14:51:48,b'RT @anbezhil12: #Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. Covaxin i\xe2\x80\xa6'
2021-04-17 14:51:07,b'RT @shukla_tarun: Finally convinced and got father to get the shot. Now to convince mother. #covaxin https://t.co/uoFvDSX0Jj'
2021-04-17 14:50:54,"b'RT @SidShirole: #COVAXIN 2nd Dose is available at Joshi Hospital, Kamala Nehru Park #Shivajinagar. Do #WalkIn\nPlease note this is only for\xe2\x80\xa6'"
2021-04-17 14:50:37,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:50:15,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:50:08,b'RT @arpit971: DBT has announced doubling COVAXIN capacity by May/Jun Wihout any bias wish to inform them that it can\xe2\x80\x99t be possible without\xe2\x80\xa6'
2021-04-17 14:49:59,b'@Chatterj1Asking You...you are better than covaxin or covishield!!!!'
2021-04-17 14:49:17,b'RT @docvjg: Finally got the call from @BharatBiotech #AIIMS Delhi research team\nUnblinding of #Covaxin trial\nI had received #placebo \nNow w\xe2\x80\xa6'
2021-04-17 14:48:36,"b'RT @RaghuramanMenon: Govt aids Bharat Biotech with  \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin https://t.co/SVpyzanxi4'"
2021-04-17 14:48:36,b'RT @UpdatesChennai: Looks Like The Govt Of India Is In Talks With Bharath Biotech For Manufacturing Covaxin At The Integrated Vaccine Compl\xe2\x80\xa6'
2021-04-17 14:48:29,b'RT @TheBaluu: Try to get your 2nd dose of Covid Vaccine within this window period to get better results...\n#Covaxin\n#Covishield https://t.c\xe2\x80\xa6'
2021-04-17 14:47:49,"b'@AmhiDombivlikar Acha\xf0\x9f\x99\x81\nWhen I visited there, they clearly said me that they have limited doses for Covaxin and henc\xe2\x80\xa6 https://t.co/R4bSZKqmBs'"
2021-04-17 14:47:31,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:47:11,b'RT @anbezhil12: #Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. Covaxin i\xe2\x80\xa6'
2021-04-17 14:46:58,b'@PrashantPansari @SidShirole Also the centre where they got the first Jab I had called them yesterday they said the\xe2\x80\xa6 https://t.co/RxlyGzChrh'
2021-04-17 14:45:32,b'RT @drshamamohd: Why is Covaxin priced higher than Covishield? Must find out who all have stakes in the Covaxin production'
2021-04-17 14:45:25,b'RT @TheBaluu: Try to get your 2nd dose of Covid Vaccine within this window period to get better results...\n#Covaxin\n#Covishield https://t.c\xe2\x80\xa6'
2021-04-17 14:45:13,"b'RT @PriyankaPulla: [New story] Two weeks ago, the Brazilian regulator Anvisa published a report listing a number of quality control problem\xe2\x80\xa6'"
2021-04-17 14:45:08,b'RT @AmanKayamHai_: The current production capacity of Covaxin vaccine will be doubled by May-June 2021 &amp; increased nearly 6-7 fold by July/\xe2\x80\xa6'
2021-04-17 14:45:02,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:44:54,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:44:33,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:44:21,b'RT @anbezhil12: #Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. Covaxin i\xe2\x80\xa6'
2021-04-17 14:44:17,"b""@TheSoothsayer_ @BeingDeeSee Ya covaxin has more supply issues. But it's just so much operational and communication\xe2\x80\xa6 https://t.co/pS0KtNgmWc"""
2021-04-17 14:44:13,"b'RT @vijai63: .@SumitraRoyTOI , the volumes that GoI is targeting for Covaxin of 7 cr per month in Jul + 10 cr in Sep 2021 does not assume a\xe2\x80\xa6'"
2021-04-17 14:44:10,b'RT @TheBaluu: Try to get your 2nd dose of Covid Vaccine within this window period to get better results...\n#Covaxin\n#Covishield https://t.c\xe2\x80\xa6'
2021-04-17 14:43:44,b'#Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. C\xe2\x80\xa6 https://t.co/K1ZtJTEXRb'
2021-04-17 14:43:37,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:43:36,b'RT @vinayvaani: @ANI India was duty bound to export Covishield as it was developed in partnership with Britain.\nAnd by the way! Has Rahul G\xe2\x80\xa6'
2021-04-17 14:43:16,b'RT @drshamamohd: Why is Covaxin priced higher than Covishield? Must find out who all have stakes in the Covaxin production https://t.co/D5J\xe2\x80\xa6'
2021-04-17 14:42:46,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:42:36,b'RT @PplOfIndia: Modi to ramp up production of Covaxin multifold.  PSUs will manufacture the drug on the basis of transfer of technology. Go\xe2\x80\xa6'
2021-04-17 14:42:22,b'RT @vinayvaani: @ANI India was duty bound to export Covishield as it was developed in partnership with Britain.\nAnd by the way! Has Rahul G\xe2\x80\xa6'
2021-04-17 14:42:16,b'Try to get your 2nd dose of Covid Vaccine within this window period to get better results...\n#Covaxin\n#Covishield https://t.co/pBRs3PzFnp'
2021-04-17 14:42:14,b'RT @drshamamohd: Why is Covaxin priced higher than Covishield? Must find out who all have stakes in the Covaxin production'
2021-04-17 14:41:34,"b""RT @ARanganathan72: Why are you so triggered? Don't bring your politics or ideology into a scientific discussion.\n\nMy tweet simply mentione\xe2\x80\xa6"""
2021-04-17 14:40:35,"b'@ShekharGupta @jaysh88 suit India are Sputnik-V and Moderna. (j) Other than Moderna, Indian manufacturers already h\xe2\x80\xa6 https://t.co/GedspxByCj'"
2021-04-17 14:40:32,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:40:28,"b""My parent's second dose due on April 17, and there is no covaxin left in Nagercoil #VaccineShortage #VaccineForAll\xe2\x80\xa6 https://t.co/TbxsY1X3AW"""
2021-04-17 14:40:01,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:39:29,"b'@ShekharGupta @jaysh88 (g) Only 7 countries have signed \xe2\x80\x9cPvt. Purchase\xe2\x80\x9d deals, of which Brazil &amp; Nepal have signed\xe2\x80\xa6 https://t.co/0mlYx4EiBS'"
2021-04-17 14:39:16,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:38:58,"b""RT @AUThackeray: The Dept of Science &amp; Technology, Govt. of India, has granted approval to Haffkine Institute to produce Bharat Biotech's C\xe2\x80\xa6"""
2021-04-17 14:38:49,"b'RT @PriyankaPulla: [New story] Two weeks ago, the Brazilian regulator Anvisa published a report listing a number of quality control problem\xe2\x80\xa6'"
2021-04-17 14:38:47,b'@Overseasrights True.. \xf0\x9f\xa5\xb2 all covaxin doses are exported (better efficacy than covisheild) \n\nOwn Citizens ki covishe\xe2\x80\xa6 https://t.co/vvCpETK28J'
2021-04-17 14:38:34,b'@ShekharGupta @jaysh88 the Oxford-AZ vaccine on 30-Dec-2020. (d) UK &amp; US approved Pfizer vaccine on 11-Dec-20. (e)\xe2\x80\xa6 https://t.co/3FocaeXfCG'
2021-04-17 14:38:16,b'@Dhiren_Jain @BhavikDM Production of Covishield n Covaxin r 4 Crores n 1 Crore per month. Annually 60 Crores will b\xe2\x80\xa6 https://t.co/VDOwJpJblQ'
2021-04-17 14:38:04,b'RT @vinayvaani: @ANI India was duty bound to export Covishield as it was developed in partnership with Britain.\nAnd by the way! Has Rahul G\xe2\x80\xa6'
2021-04-17 14:38:03,"b'Govt aids Bharat Biotech with \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin\n https://t.co/OPI6uKd2kr\n\nvia NaMo A\xe2\x80\xa6 https://t.co/E3Cx3x7nru'"
2021-04-17 14:37:08,b'@ANI Your party members howled against covaxin approval like anything and everything. Just stating facts'
2021-04-17 14:37:03,b'@mruduls It\xe2\x80\x99s a good news . What about #Covishield and #covaxin shortage . Before June something has to be done .'
2021-04-17 14:36:04,"b'@khoslasaksham @albrgr There\xe2\x80\x99s a lot to unpack here, though. UP &amp; Bihar imply demand for vaccines is a non-monotoni\xe2\x80\xa6 https://t.co/9CvzssArQ7'"
2021-04-17 14:35:53,b'RT @Chatterj1Asking: Covidshield or covaxin which one is better?'
2021-04-17 14:35:40,b'RT @Rajendrap27: @AmhiDombivlikar My Dad and uncle got 2nd dose of COVAXIN at Noble Hospital yesterday... Comparatively no rush as compared\xe2\x80\xa6'
2021-04-17 14:34:05,"b'Govt aids Bharat Biotech with \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin\n https://t.co/UPBcP2HxFu\n\nvia NaMo A\xe2\x80\xa6 https://t.co/2s029ulIJk'"
2021-04-17 14:34:04,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:32:41,"b'@COVIDNewsByMIB -kindly guide,i got 1st shot of covaxin on 12/3 and 2nd today 17/4. However as a have to undergo ra\xe2\x80\xa6 https://t.co/rE10a0kwUw'"
2021-04-17 14:32:39,b'RT @siddharth3: An exceptional piece on the process of making Covaxin and testing for its safety. (I wish more journalism was this good. Ex\xe2\x80\xa6'
2021-04-17 14:32:29,"b'RT @c400_t: India: post vaccination death #235\n\nTamilnadu: Chennai district\n\nTamil actor Vivekh (59) died on 4.35 am on April 17, due to a\xe2\x80\xa6'"
2021-04-17 14:32:19,b'RT @AmhiDombivlikar: Second vaccine of #COVAXIN is available at AIMS #Dombivli. Any kind of prior registration is not mandatory.\n100 vaccin\xe2\x80\xa6'
2021-04-17 14:32:08,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:32:07,"b'Govt aids Bharat Biotech with \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin\n https://t.co/c6ZnzszBy2\n\xe2\x81\xa6@kiransnm\xe2\x81\xa9\xe2\x80\xa6 https://t.co/WOA1lNHdkE'"
2021-04-17 14:32:00,b'@Aryan_warlord @ChemburSrv Does covaxin effecive againt UK strain?'
2021-04-17 14:31:21,"b'Govt aids Bharat Biotech with \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin\n https://t.co/UPBcP2HxFu\n\nvia NaMo A\xe2\x80\xa6 https://t.co/542fXz9c11'"
2021-04-17 14:31:00,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:30:21,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 14:30:20,b'RT @Broufus: 1. Covaxin is supposed to have an inactivated covid virus in its vaccine.\n2. The report from Brazil confirms that the virus is\xe2\x80\xa6'
2021-04-17 14:30:12,"b'RT @PriyankaPulla: [New story] Two weeks ago, the Brazilian regulator Anvisa published a report listing a number of quality control problem\xe2\x80\xa6'"
2021-04-17 14:30:10,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:29:58,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:29:53,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
2021-04-17 14:29:42,"b""RT @Zizezkianism: India's covaxin is being rejected in Brazil because our idiots didn't deactivate the virus and ended up giving Covid inst\xe2\x80\xa6"""
2021-04-17 14:29:40,"b""@SreeIyer1 @Swamy39 Now let's focus on threat of Covaxin also.People should know the facts about this vaccine as we\xe2\x80\xa6 https://t.co/fFPhYtViK0"""
2021-04-17 14:28:28,"b'RT @CMOMaharashtra: The Dept of Science &amp; Technology, Government of India, has granted approval to Haffkine Institute to produce Bharat Bio\xe2\x80\xa6'"
2021-04-17 14:28:20,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 14:28:06,b'@BeingDeeSee @blahssome My parents faced no such issue for covishield when they went yesterday. But they did go to\xe2\x80\xa6 https://t.co/99VTqkQiEh'
2021-04-17 14:27:53,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:27:53,"b'covid-19 vaccine in assam, covaxin vs covishield https://t.co/4obMrT1Fma'"
2021-04-17 14:27:41,b'RT @SaketGokhale: The order for vaccine doses placed by the Govt thru funding from the budget is prices at Rs. 157.50 per unit for both Cov\xe2\x80\xa6'
2021-04-17 14:27:40,b'@indiacares_2020 is covaxin avaliable in ahmedabad? Everywhere I can see only covid shield. Dad has 2nd does due on\xe2\x80\xa6 https://t.co/5XE056pXCD'
2021-04-17 14:27:34,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
2021-04-17 14:27:25,b'RT @drshamamohd: Why is Covaxin priced higher than Covishield? Must find out who all have stakes in the Covaxin production'
2021-04-17 14:27:23,"b""RT @ARanganathan72: Why are you so triggered? Don't bring your politics or ideology into a scientific discussion.\n\nMy tweet simply mentione\xe2\x80\xa6"""
2021-04-17 14:27:12,b'RT @Chatterj1Asking: Covidshield or covaxin which one is better?'
2021-04-17 14:26:50,b'RT @drharshvardhan: Augmenting #COVID19Vaccine supplies on war footing!\n\nProduction of #Covaxin to be increased from 1 cr doses/month curre\xe2\x80\xa6'
2021-04-17 14:25:47,b'RT @gsurya: Cells from the spleen of African green monkey is a key ingredient of #Covaxin. \n\nHave vegetarian Bhakts been informed? https://\xe2\x80\xa6'
2021-04-17 14:25:32,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:25:10,b'$OCGN \nAll the fundamentals are still intact. \nhttps://t.co/BuGR1d3G4L\n\nHang in there and have a great \xf0\x9f\x8c\x88\xf0\x9f\x8f\x95weekend \xf0\x9f\x99\x82'
2021-04-17 14:25:04,b'Our Covid Vaccination 1st | 2nd Shots | USA Tamil Vlog | Fever Experience Side effects reaction\xe2\x80\xa6 https://t.co/mMVLmVAyeg'
2021-04-17 14:24:48,b'@Aryan_warlord @ChemburSrv How can I figure out centers which are giving covaxin in Mumbai. Parents had covaxin as\xe2\x80\xa6 https://t.co/sp5yVDO7mF'
2021-04-17 14:24:34,"b'RT @SidShirole: #COVAXIN 2nd Dose is available at Joshi Hospital, Kamala Nehru Park #Shivajinagar. Do #WalkIn\nPlease note this is only for\xe2\x80\xa6'"
2021-04-17 14:24:18,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:24:17,b'@Chatterj1Asking Covaxin better.'
2021-04-17 14:24:09,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
2021-04-17 14:24:02,"b""@beautyoftheend it's called Covaxin... I live in India"""
2021-04-17 14:23:36,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
2021-04-17 14:22:38,b'COVID-19 Highlights April 16: Centre allows Haffkine Institute to produce Covaxin https://t.co/87S1fsYkRY'
2021-04-17 14:22:10,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:21:31,"b'RT @SidShirole: #COVAXIN 2nd Dose is available at Joshi Hospital, Kamala Nehru Park #Shivajinagar. Do #WalkIn\nPlease note this is only for\xe2\x80\xa6'"
2021-04-17 14:21:21,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:20:57,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:20:46,b'RT @jagritysablok1: This is Shocking!\n\nBrazil\xe2\x80\x99s report on Bharat Biotech\xe2\x80\x99s Covaxin plant raised serious GMP violations.\n\nFindings shows tha\xe2\x80\xa6'
2021-04-17 14:20:45,b'Covishield and Covaxin 2nd dose info.\n\n#Covishield #CovishieldVaccine #COVAX #COVID19India #CoronaSecondWave\xe2\x80\xa6 https://t.co/lKsFA0H5jE'
2021-04-17 14:20:23,b'RT @vinayvaani: @ANI India was duty bound to export Covishield as it was developed in partnership with Britain.\nAnd by the way! Has Rahul G\xe2\x80\xa6'
2021-04-17 14:20:20,b'Cells from the spleen of African green monkey is a key ingredient of #Covaxin. \n\nHave vegetarian Bhakts been inform\xe2\x80\xa6 https://t.co/6PwlN8SvlE'
2021-04-17 14:20:08,"b'RT @prasadhemant: @rishabsingh4 @ARanganathan72 Other than Mexico, Zimbabwe, Nepal, Iran and Mauritius have also given Emergency Use Author\xe2\x80\xa6'"
2021-04-17 14:18:58,b'#COVID19Vaccine #CowinApp I booked vaccine appointment through the portal on 9th March &amp; following day we received\xe2\x80\xa6 https://t.co/UdeqWTIuOA'
2021-04-17 14:18:53,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:18:44,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 14:18:44,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:18:44,b'@deepansh01 @laurelEwest @ShekharGupta Govts are elected to  forsee  future &amp; not be  election winning/PR  machines\xe2\x80\xa6 https://t.co/L68FJaCS6R'
2021-04-17 14:18:39,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
2021-04-17 14:18:06,b'RT @nagurajesh: @KBMRAJ @anbezhil12 He has taken covaxin'
2021-04-17 14:18:02,b'What if you had 1st shot of #Covaxin and cant find stock to get 2nd? How long can one delay it with minimal impact on effectiveness?'
2021-04-17 14:17:53,b'RT @NeoDravidian: I got 2 Doses of Sinopharm; \nAnna got Pfizer; \nAppa got 1st Dose of Covaxin; \nAmma got 1st Dose of Covishield \n\nVaccines\xe2\x80\xa6'
2021-04-17 14:17:39,b'RT @AmhiDombivlikar: Second vaccine of #COVAXIN is available at AIMS #Dombivli. Any kind of prior registration is not mandatory.\n100 vaccin\xe2\x80\xa6'
2021-04-17 14:17:37,b'@KBMRAJ @anbezhil12 He has taken covaxin'
2021-04-17 14:17:04,b'RT @arpit971: DBT has announced doubling COVAXIN capacity by May/Jun Wihout any bias wish to inform them that it can\xe2\x80\x99t be possible without\xe2\x80\xa6'
2021-04-17 14:17:02,b'RT @Chatterj1Asking: Covidshield or covaxin which one is better?'
2021-04-17 14:17:00,b'RT @AmhiDombivlikar: Second vaccine of #COVAXIN is available at AIMS #Dombivli. Any kind of prior registration is not mandatory.\n100 vaccin\xe2\x80\xa6'
2021-04-17 14:16:12,"b'@laurelEwest @MukulAgarwal66 @ShekharGupta Laurel, SII doesnt own the IP. It got the IP because it said it will con\xe2\x80\xa6 https://t.co/OQ6VToLytO'"
2021-04-17 14:16:05,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:16:02,"b""RT @ARanganathan72: Mexico's health regulator Cofepris approves Bharat Biotech's Covaxin. Mexico is a member of Pharma Inspection Co-op Sch\xe2\x80\xa6"""
2021-04-17 14:15:47,"b""@stalinsrini @DhatrishD @ANI Yes we did gave Covaxin? Can you tell me how much? And when i say don't chase it madly\xe2\x80\xa6 https://t.co/C1SH0VegCR"""
2021-04-17 14:15:43,"b""RT @rdivia: A short info on central govt's tie up with Haffkine that was announced yesterday.  Haffkine will take *at least* 12 months to s\xe2\x80\xa6"""
2021-04-17 14:15:33,"b'RT @DoctorLFC: + I was trying to find the average duration after first dose in these 150 individuals, if any of them had received both dose\xe2\x80\xa6'"
2021-04-17 14:15:31,b'RT @PBNS_India: Maharashtra: Central government permits the state-owned Haffkine Bio Pharmaceutical Corporation Limited to start production\xe2\x80\xa6'
2021-04-17 14:15:13,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:15:13,"b""RT @AUThackeray: The Dept of Science &amp; Technology, Govt. of India, has granted approval to Haffkine Institute to produce Bharat Biotech's C\xe2\x80\xa6"""
2021-04-17 14:14:57,b'RT @Vj_master_642: #RIPVivekSir Covaxin ah ? \xf0\x9f\x98\xae\xf0\x9f\x92\x94 https://t.co/9ZComSqQ9T'
2021-04-17 14:14:36,"b""RT @ARanganathan72: Quint: Brazilian Regulator rejected @BharatBiotech's  COVAXIN as it didn't do Inactivation Kinetics among other things.\xe2\x80\xa6"""
2021-04-17 14:14:31,"b'RT @PriyankaPulla: [New story] Two weeks ago, the Brazilian regulator Anvisa published a report listing a number of quality control problem\xe2\x80\xa6'"
